candidate,metric,favorable_direction,actual_mean,permutation_mean,actual_minus_permutation,favorable_difference,permutation_ci95_low,permutation_ci95_high,one_sided_p
lexical_composite,WER,lower,1.03272727,1.03849745,-0.00577018,0.00577018,1.03181815,1.04454541,0.06489935
lexical_composite,raw_BERTScore_F1,higher,0.81984787,0.81725758,0.00259029,0.00259029,0.81614470,0.81842423,0.00002000
lexical_composite,BLEU_1,higher,0.07672386,0.05266113,0.02406273,0.02406273,0.04223374,0.06348896,0.00001000
lexical_composite,ROUGE_1_F1,higher,0.08733408,0.05899873,0.02833534,0.02833534,0.04777650,0.07067277,0.00001000
content_specialist,WER,lower,1.04454545,1.04465795,-0.00011249,0.00011249,1.03818178,1.05090904,0.52692473
content_specialist,raw_BERTScore_F1,higher,0.81808791,0.81506002,0.00302789,0.00302789,0.81395840,0.81622517,0.00001000
content_specialist,BLEU_1,higher,0.06188391,0.04458166,0.01730225,0.01730225,0.03451607,0.05501355,0.00092999
content_specialist,ROUGE_1_F1,higher,0.07530297,0.05043201,0.02487097,0.02487097,0.03942272,0.06188026,0.00006000
retrieval_specialist,WER,lower,1.04636364,1.04896379,-0.00260015,0.00260015,1.04272723,1.05454540,0.24680753
retrieval_specialist,raw_BERTScore_F1,higher,0.81899705,0.81572235,0.00327471,0.00327471,0.81462395,0.81687445,0.00001000
retrieval_specialist,BLEU_1,higher,0.06870056,0.04616448,0.02253608,0.02253608,0.03599303,0.05690847,0.00003000
retrieval_specialist,ROUGE_1_F1,higher,0.07696786,0.05270672,0.02426114,0.02426114,0.04142671,0.06457981,0.00005000
